Level,Code,Class title,Element Type Label English,Element Description English,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),educational institution chief financial officer (CFO) ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),health services institution executive director ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),labour organization president ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),membership organization general manager ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),music guild president ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),professional association executive director ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),scientific association chairperson ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),social services institution corporate controller ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),voluntary organization executive director ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,academic association president ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,academic business vice-president ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,alumni association executive director ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,arts and culture association chairperson ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,arts association executive director ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"assistant executive director - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,association executive director ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,automobile association executive director ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,business association general manager ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,business association president ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,business general manager ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,business school general manager ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"chairman/woman - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"chairperson - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,chancellor - education ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,charitable organization director ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,charitable organization executive director ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"chief executive officer (CEO) - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"chief financial officer (CFO) - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"chief operating officer - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"chief privacy officer - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,college chancellor ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,college president ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,community college president ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"corporate controller - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,crafts guild executive director ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,cultural association president ,,,,
